timestamp,power,appliance1,appliance2,appliance3,appliance5,appliance7
1649695872,273.36,0,273.36,0.0,0.0,0.0
1649695877,273.59,0,273.59,0.0,0.0,0.0
1649695883,273.92,0,273.92,0.0,0.0,0.0
1649695889,274.04,0,274.04,0.0,0.0,0.0
1649695894,274.72,0,274.72,0.0,0.0,0.0
1649695900,274.35,0,274.35,0.0,0.0,0.0
1649695905,282.32,0,282.32,0.0,0.0,0.0
1649695910,281.37,0,281.37,0.0,0.0,0.0
1649695916,303.51,0,303.51,0.0,0.0,0.0
1649695921,301.87,0,301.87,0.0,0.0,0.0
1649695927,297.70,0,297.7,0.0,0.0,0.0
1649695932,297.42,0,297.42,0.0,0.0,0.0
1649695938,296.22,0,296.22,0.0,0.0,0.0
1649695944,294.52,0,294.52,0.0,0.0,0.0
1649695949,294.01,0,294.01,0.0,0.0,0.0
1649695955,293.02,0,293.02,0.0,0.0,0.0
1649695960,293.26,0,293.26,0.0,0.0,0.0
1649695966,293.50,0,293.5,0.0,0.0,0.0
1649695971,297.83,0,297.83,0.0,0.0,0.0
1649695977,291.49,0,291.49,0.0,0.0,0.0
1649695982,290.33,0,290.33,0.0,0.0,0.0
1649695988,290.92,0,290.92,0.0,0.0,0.0
1649695993,290.00,0,290.0,0.0,0.0,0.0
1649695999,289.70,0,289.7,0.0,0.0,0.0
1649696004,289.94,0,289.94,0.0,0.0,0.0
1649696010,288.72,0,288.72,0.0,0.0,0.0
1649696015,288.70,0,288.7,0.0,0.0,0.0
1649696021,287.71,0,287.71,0.0,0.0,0.0
1649696026,289.76,0,289.76,0.0,0.0,0.0
1649696032,290.51,0,290.51,0.0,0.0,0.0
1649696037,289.41,0,289.41,0.0,0.0,0.0
1649696043,293.61,0,293.61,0.0,0.0,0.0
1649696048,288.99,0,288.99,0.0,0.0,0.0
1649696053,289.34,0,289.34,0.0,0.0,0.0
1649696059,289.62,0,289.62,0.0,0.0,0.0
1649696065,289.88,0,289.88,0.0,0.0,0.0
1649696070,290.40,0,290.4,0.0,0.0,0.0
1649696076,290.33,0,290.33,0.0,0.0,0.0
1649696081,288.12,0,288.12,0.0,0.0,0.0
